School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
1317,St Joseph's Catholic School (Te Kuiti),07-8788190,office@stjosephtk.school.nz,Suzanne Downey,http://www.stjosephtk.school.nz,Queen Street,,Te Kuiti,PO Box 124,,Te Kuiti,3941,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1318,St Joseph's Catholic School (Waihi),07-8638653,office@wsj.school.nz,Teresa Rush (Acting),http://www.wsj.school.nz,91 Mueller Street,,Waihi,91 Mueller Street,,Waihi,3610,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1319,St Joseph's Catholic School (Whakatane),07-3088920,office@stjosephswhakatane.school.nz,Jodie-Ann Brady,http://www.stjosephswhakatane.school.nz/home,101 King Street,,Whakatane,101 King Street,,Whakatane,3120,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1320,St Mary's Catholic School (Putāruru),07-8851006,office@stmarysput.school.nz,Jennifer MacKenzie,http://www.stmarysput.school.nz,5 Mackenzie Street,,Putaruru,5 Mackenzie Street,,Putaruru,3411,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1321,St Mary's Catholic School (Rotorua),07-3481701,admin@stmarysrotorua.school.nz,David MacMillan,http://www.stmarysrotorua.school.nz,37 Carnot Street,Glenholme,Rotorua,PO Box 1213,,Rotorua,3040,Large urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Whenua
1322,St Mary's Catholic School (Tauranga),07-5788066,office@stmarystga.school.nz,Fay Warnock,http://www.stmarystga.school.nz/,Thirteenth Avenue,,Tauranga,Thirteenth Avenue,Tauranga South,Tauranga,3112,Major urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Whenua
1323,St Michael's Catholic School (Rotorua),07-3481362,admin@stmichaelsrotorua.school.nz,Rachael McLanachan,http://www.stmichaelsrotorua.school.nz,Lisa Crescent,Western Heights,Rotorua,PO Box 8041,Western Heights,Rotorua,3047,Large urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Whenua
1324,St Patrick's Catholic School (Taumarunui),07-895 6933,admin1@stpats-tmn.school.nz,Gerry McGirr,http://www.stpats-tmn.school.nz/,12 High Street,,Taumarunui,12 High Street,,Taumarunui,3920,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1325,St Patrick's Catholic School (Te Awamutu),07-8714669,office@stpatta.co.nz,Aimee McMillian,http://www.stpatta.co.nz,625 Alexandra Street,,Te Awamutu,PO Box 300,,Te Awamutu,3840,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1326,St Paul's Catholic School (Ngaruawahia),07-8248603,office@stpaulsnga.school.nz,Shaun Emms,http://www.stpaulsnga.school.nz/,Belt Street,,Ngaruawahia,PO Box 55,,Ngaruawahia,3742,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1327,St Peter Chanel Catholic School (Te Rapa),07-8493734,admin@spc.ac.nz,Nicholas Quinn,http://www.spc.ac.nz,5 Vardon Street,Te Rapa,Hamilton,5 Vardon Road,Saint Andrews,Hamilton,3200,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1328,St Peter's Catholic School (Cambridge),07-8276623,office@stpeterscatholic.school.nz,Nicole Higby,http://www.stpeterscatholic.school.nz,22 Anzac Street,,Cambridge,22 Anzac Street,,Cambridge,3434,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1329,St Pius X Catholic School (Melville),07-8436554,info@stpius.school.nz,Erin Clayton,http://www.stpius.school.nz,57 Pine Avenue,Melville,Hamilton,57 Pine Avenue,Melville,Hamilton,3206,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Whenua
1330,Stanley Avenue School,07-8848479,office@stanleyave.school.nz,Nick Adams,http://www.stanleyave.school.nz,Stanley Avenue,,Te Aroha,Stanley Avenue,,Te Aroha,3320,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1331,Strathmore School,07-8869765,office@strathmore.school.nz,Noa Tereu (Acting),http://www.strathmore.school.nz,Strathmore Drive,,Tokoroa,Strathmore Drive,,Tokoroa,3420,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1332,Sunset Primary School,07-3484289,office@sunset.school.nz,Craig McFayden,http://www.sunset.school.nz/,110/170 Sunset Road,Fordlands,Rotorua,PO Box 500,,Rotorua,3040,Large urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1333,Te Kura o Tahaaroa,07-8767335,office@tahaaroa.school.nz,Yvonne Armstrong,,Taharoa Road,,Te Kuiti,Taharoa Road RD 8,,Te Kuiti,3988,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1334,Tahuna School,07-8875848,admin@tahunaschool.school.nz,Phillip Otto,http://www.tahunaschool.school.nz,43 Tahuna-Ohinewai Road,,Tahuna,43 Tahuna-Ohinewai Road RD 3,,Morrinsville,3373,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Whenua
1335,Tainui Full Primary School,07-8869860,shirleyt@tainuifullprimary.school.nz,Judith Smallbone (Acting),http://www.tainuifullprimary.school.nz,Tainui Street,,Tokoroa,Tainui Street,,Tokoroa,3420,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1336,Tairua School,07-8648590,office@tairua.school.nz,Juliet Small,http://www.tairua.school.nz,110 Main Road,,Tairua,110 Main Road,,Tairua,3508,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1337,Tamahere Model Country School,07-8569238,reception@tamahere.school.nz,Waveney Parker,http://www.tamahere.school.nz/,37 Devine Road,Tamahere,Hamilton,37 Devine Road RD 3,,Hamilton,3283,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1338,Taneatua School,07-3129365,admin@taneatua.school.nz,Juanita Paraha,,44 McKenzie Street,,Taneatua,44 McKenzie Street,,Taneatua,3123,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1339,Tapu School,07-8684838,office@tapu.school.nz,Ryan Abbott,http://www.tapu.school.nz,719 Thames Coast Road,Tapu,Thames,719 Thames Coast Road RD 5,,Thames,3575,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1340,Tarrangower School,07-8958960,office@tarrangower.school.nz,Rawinia Peters,http://www.tarrangower.school.nz,25 Manson Street,,Taumarunui,25 Manson Street,,Taumarunui,3920,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1341,Tatuanui School,07-8895578,tatuanui@tatuanui.school.nz,Brendon Fiebig,http://www.tatuanui.school.nz,State Highway 27,,Tatuanui,4513 State Highway 27 RD 4,,Morrinsville,3374,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1342,Tauhara School,07-3787755,admin@tauharaprimary.school.nz,Tracy Fraser,https://tauharaprimary.school.nz/,90 Crown Road,Tauhara,Taupo,90 Crown Road,Tauhara,Taupo,3330,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1343,Tauhei Combined School,07-8876844,office@tauhei.school.nz,Gareth Haman,http://www.tauhei.co.nz/,860 Tauhei Road,,Tauhei,860 Tauhei Road RD 5,,Morrinsville,3375,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1344,Taumarunui Primary School,07-8957131,office@taumarunui.school.nz,Bethwen Crockett,http://www.taumarunui.school.nz,Maata Street,,Taumarunui,Maata Street,,Taumarunui,3920,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1345,Taupiri School,07-8246713,office@taupiri.school.nz,Judith Gribble,http://www.taupiri.school.nz,Greenlane Road,,Taupiri,Greenlane Road,,Taupiri,3721,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1346,Taupo Intermediate,07-3788097,admin@taupointermediate.co.nz,Brent Woods,http://www.taupointermediate.co.nz,22 Kotare Street,Hilltop,Taupo,22 Kotare Street,Hilltop,Taupo,3330,Medium urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1347,Taupo School,07-3784389,office@taupoprimary.school.nz,Isaac Taylor,http://www.taupoprimary.school.nz,99 Tamamutu Street,,Taupo,99 Tamamutu Street,,Taupo,3330,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1348,Tauranga Intermediate,07-5784401,info@tauranga-int.school.nz,Cheri Gallagher (Acting),http://www.tauranga-int.school.nz/,30 18th Avenue,The Avenues,Tauranga,PO Box 2141 Seventh Avenue,,Tauranga,3140,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1349,Tauranga Primary School,07-5786222,office@tauranga.school.nz,Fiona Hawes,http://www.tauranga.school.nz/,31 Fifth Avenue,,Tauranga,31 Fifth Avenue,,Tauranga,3110,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1350,Gate Pa School,07-5785325,office@gatepa.school.nz,Rochelle Jensen,http://www.gatepa.school.nz,900 Cameron Road South,Gate Pa,Tauranga,900 Cameron Road,Gate Pa,Tauranga,3112,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1351,Tauriko School,07-5430430,office@tauriko.school.nz,Suzanne Billington,http://www.tauriko.school.nz,768 State Highway 29,Tauriko,Tauranga,768 State Highway 29 RD 1,,Tauranga,3171,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1352,Tauwhare School,07-8240864,admin@tauwhare.school.nz,Chris May,http://www.tauwhare.school.nz,26 Scotsman Valley Road,,Hamilton,26 Scotsman Valley Road RD 7,,Hamilton,3287,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1353,Tāwera Bilingual School,07-3129187,office@tawera.school.nz,Hiria Te Moana,,164 Ngahina Road,Ruatoki,Whakatane,164 Ngahina Road RD 1,,Whakatane,3191,Rural other,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1354,Te Akau School,07-8254777,office@teakau.school.nz,Hannah O’Brien,https://www.teakau.school.nz/,953 Te Akau Road,,Te Akau,953 Te Akau Road RD 1,,Ngaruawahia,3793,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1355,Te Aroha Primary School,07-8848803,accounts@tearohaprimary.school.nz,Deirdre Hearmon,,Jubilee Avenue,,Te Aroha,Jubilee Avenue,,Te Aroha,3320,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1356,Te Awamutu Intermediate,07-8716377,office@teawamutuint.school.nz,Bridget Watkins,http://teawamutuint.school.nz,646 Hazelmere Crescent,,Te Awamutu,PO Box 357,,Te Awamutu,3800,Medium urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1357,Te Awamutu Primary School,07-8715378,office@taps.school.nz,Sharon Griffiths,http://www.taps.school.nz,401 Teasdale Street,,Te Awamutu,401 Teasdale Street,,Te Awamutu,3800,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1358,Te Kauwhata Primary School,07-8263564,office@tkp.school.nz,Brian Martin,http://www.tkp.school.nz,Wira Street,,Te Kauwhata,4 Wira Street,,Te Kauwhata,3710,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1359,Te Kowhai School,07-8297860,admin@tekowhai.school.nz,Juliet Dickinson,http://www.tekowhai.school.nz,605 Horotiu Road,,Te Kowhai,605 Horotiu Road RD 8,,Hamilton,3288,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1360,Te Kuiti Primary School,07-8787746,admin@tekuiti.school.nz,Paula Gilford,http://www.tekuiti.school.nz,Rora Street,,Te Kuiti,PO Box 252,,Te Kuiti,3941,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1361,Te Mahoe School,07-3228210,,Marion Gordon,http://temahoe.school.nz,842 Galatea Road,Lake Matahina,Whakatane,842 Galatea Road RD 2,,Whakatane,3192,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1362,Te Mata School (Raglan),07-8256870,admin@temataraglan.school.nz,Fiona Gott,http://www.temataraglan.school.nz,778 Te Mata Road,,Raglan,778 Te Mata Road RD 2,,Raglan,3296,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1363,TKKM o Te Matai,07-5738470,tari@tematai.school.nz,Te Taiawatea Wihapi,,1327a Te Puke Highway,Waitangi,Te Puke,PO Box 343,,Te Puke,3153,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1364,Te Miro School,07-8278146,office@temiro.school.nz,Luke Willis,http://www.temiro.school.nz,443 Te Miro Road,Te Miro,Cambridge,443 Te Miro Road RD 4,,Cambridge,3496,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1365,Te Pahu School,07-8259849,office@tepahu.school.nz,Louise Handley,http://www.tepahu.school.nz,671 Te Pahu Road,Te Pahu,Hamilton,671 Te Pahu Road RD 5,,Hamilton,3285,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1366,Te Poi School,07-8882704,office@tepoi.school.nz,Linda Larsen,http://www.tepoi.school.nz,3 Stopford Road,Te Poi,Matamata,3 Stopford Road RD 3,,Matamata,3473,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
1367,Te Puke Intermediate,07-5739352,admin@tepukeint.school.nz,Jillian Weldon,http://www.tepukeint.school.nz/Home,133 Cameron Road,,Te Puke,133 Cameron Road,,Te Puke,3119,Small urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1368,Te Puke Primary School,07-5737434,office@tepukeprimary.school.nz,Andrea Dance,http://www.tepukeprimary.school.nz,43 Cameron Road,,Te Puke,43 Cameron Road,,Te Puke,3119,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1369,Te Puna School,07-5525715,admin@tepuna.school.nz,Neil Towersey,http://www.tepuna.school.nz,225 Te Puna Road,,Te Puna,225 Te Puna Road RD 6,,Tauranga,3176,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1370,Te Ranga School,07-5738032,office@teranga.school.nz,Aimee Kennedy,http://www.teranga.school.nz,1492 Te Matai Road,,Te Puke,1492 Te Matai Road RD 8,,Te Puke,3188,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1371,Te Rapa School,07-8492232,admin@terapa.school.nz,Vaughan Franklin,http://www.terapa.school.nz,61 Ashurst Avenue,Te Rapa,Hamilton,PO Box 10280,Te Rapa,Hamilton,3241,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1372,Te Rerenga School,07-8664096,admin@tererenga.school.nz,Mary Kedzlie,http://www.tererenga.school.nz,1229 Whangapoua Road,,Te Rerenga,1229 Whangapoua Road RD 2,,Coromandel,3582,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1373,Te Kura O Te Teko,07-3228442,office@teteko.school.nz,Kiri Henry,http://www.teteko.school.nz,24 Te Teko Road,,Te Teko,PO Box 5,,Te Teko,3167,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1374,Te Uku School,07-8255815,office@teuku.school.nz,Wayne Lunjevich (Acting),http://www.teuku.school.nz,3436 State Highway 23,Raglan,Te Uku,Counter Delivery,Te Uku Postcentre,Te Uku,3266,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1375,Te Waotu School,07-8832815,principal@tewaotu.school.nz,Michael Thompson,http://www.tewaotu.school.nz,1274 Waotu Road,,Putaruru,1274 Waotu Road RD 1,,Putaruru,3481,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1376,Thames South School,07-8686594,office@thamessouth.school.nz,Barbara Hetaraka,http://www.thamessouth.school.nz,307 Rolleston Street,,Thames,307 Rolleston Street,,Thames,3500,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1377,Thornton School,07-3049308,admin@thornton.school.nz,Shelley Bremner,http://www.thornton.school.nz,43 Eastbank Road,Thornton,Whakatane,43 Eastbank Road RD 3,,Whakatane,3193,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1378,Tirau Primary School,07-8831653,office@tirau.school.nz,Siobhan Patterson,http://www.tirau.school.nz,69 Main Road,,Tirau,69 Main Road,,Tirau,3410,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Whenua
1379,Tirohanga School,07-3339353,office@tirohanga.school.nz,Tracey McConachie,,851 Tirohanga Road,,Atiamuri,851 Tirohanga Road RD 1,,Atiamuri,3078,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1380,Tirohia School,07-8627086,office@tirohia.school.nz,Angela Blank,http://www.tirohia.school.nz,6332 State Highway 26,,Tirohia,6332 State Highway 26 RD 3,,Paeroa,3673,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1381,Tokoroa Central School,07-8866780,office@tokoroacentral.school.nz,Debbie Follas,http://www.tokoroacentral.school.nz,Clyde Street,,Tokoroa,PO Box 643,,Tokoroa,3444,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1382,Tokoroa Intermediate,07-8867687,office@tokoroa.school.nz,Suzanne Mariassouce,http://www.tokoroa.school.nz,Elizabeth Drive,,Tokoroa,Private Bag,Private Bag,Tokoroa,3444,Medium urban area,Intermediate,,State,Co-Educational,,Te Tai Whenua
1383,Tokoroa North School,07-8869169,principal@tokoroanorth.school.nz,Angela Main,http://www.tokoroanorth.school.nz/,29 Paraonui Road,,Tokoroa,29 Paraonui Road,,Tokoroa,3420,Medium urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1384,Turaki School,07-8957651,admin1@turakiprimary.school.nz,Louise Turner,http://www.turakiprimary.school.nz,Tumoana Street,,Taumarunui,Tumoana Street,,Taumarunui,3920,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Whenua
1385,Turua Primary School,07-8675003,admin@turua.school.nz,Karen Houghton,http://www.turua.school.nz/,Hauraki Road,Turua,Thames,Hauraki Road RD 4,,Thames,3574,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Whenua
1386,Upper Atiamuri School,07-3332257,office@upperatiamuri.school.nz,Lisa Bates,http://www.upperatiamuri.school.nz,2613 State Highway 30,,Atiamuri,2613 State Highway 30 RD 1,,Atiamuri,3078,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1387,Vardon School,07-8492451,office@vardon.school.nz,Shakeeb Kalaam,http://www.vardon.school.nz,36 Cunningham Road,Beerescourt,Hamilton,36 Cunningham Road,Beerescourt,Hamilton,3200,Major urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1388,Waerenga School,07-8267871,admin@waerengaschool.co.nz,Gina Rosendaal,http://www.waerengaschool.co.nz,1066 Taniwha Road RD 1,,Te Kauwhata,1066 Taniwha Road RD 1,,Te Kauwhata,3781,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1389,Te Kura o Waharoa,07-8887550,admin@waharoa.school.nz,Tiaki Gillet,http://www.waharoa.school.nz,32 Ward Street,,Waharoa,PO Box 34,,Waharoa,3401,Rural settlement,Full Primary,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Whenua
1390,Waihi Beach School,07-8635704,admin@waihibeach.school.nz,Rachael Coll,http://www.waihibeach.school.nz,100 Beach Road,,Waihi Beach,100 Beach Road,,Waihi Beach,3611,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1391,Waihi East School,07-8638693,ssamson@east.school.nz,Andrew Wilkinson,http://www.waihieast.school.nz,Donnelly Street,,Waihi,PO Box 129,,Waihi,3641,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1392,Waihi Central School,07-8638709,admin@waihicentral.school.nz,Logan Phillips,http://www.waihicentral.school.nz,Moresby Avenue,,Waihi,Moresby Avenue,,Waihi,3610,Small urban area,Contributing,,State,Co-Educational,,Te Tai Whenua
1393,Waikaretu School,09-2333014,admin@waikaretu.school.nz,Bernie Denton-van Loon,http://waikaretu.school.nz,1448 Waikaretu Valley Road,Waikaretu,Tuakau,1448 Waikaretu Valley Road RD 5,,Tuakau,2695,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1394,Waikino School,07-8637733,office@waikino.school.nz,Joanna Wheway,http://www.waikino.school.nz/,15 Abbott Road,,Waikino,15 Abbott Road RD 2,,Waihi,3682,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Whenua
1395,Waikite Valley School,021-2949633,office@waikitevalley.school.nz,Sue Ratcliffe,http://waikitevalley.school.nz,1090 Waikite Valley Road,Waikite Valley,Rotorua,1090 Waikite Valley Road RD 1,,Rotorua,3077,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1396,Waimana School,07-3123021,admin@waimana.school.nz,Whetu Apanui,https://www.waimana.school.nz/,6 Raroa Road,,Waimana,6 Raroa Road RD 1,,Waimana,3196,Rural other,Full Primary,,State,Co-Educational,,Te Tai Whenua
1397,Waimata School,,admin@waimata.school.nz,Raelene Miller,http://www.waimata.school.nz,9780 Tauranga Road (SH2),,Waihi,9780 State Highway 2 RD 1,,Waihi,3681,Rural other,Contributing,,State,Co-Educational,,Te Tai Whenua
